CORE_PROJECT_NUM,PROJECT_TITLE,PI_NAMEs,ORG_NAME
CONF_3354,"Sexually Dimorphic Metabolic Dysfunction in Sprague-Dawley Rat Offspring after Gestational Exposure to MNP aerosols Phoebe A. Stapleton, Taina L. Moore, Samantha Adams",Department of Pharmacology and Toxicology,
CONF_3356,Source apportionment and risk assessment of microplastics and nanoplastics in the glaciers of the North-Western Himalayas,Shahid Ahmad Dar,"Department of Civil Engineering, National Institute of Technology Srinagar, J&K-190006, India"
CONF_3357,Spatial and Seasonal Patterns of Riverine Microplastics and Their Ecological Risks: A Case Study from the Cauvery River,ir Ecological Risks: A Case Study from the Cauvery,
CONF_3358,The Agency for Toxic Substance and Disease Registry: Necessities and Data Gaps for Addressing the Environmental Exposures of Micro- and Nanoplastics and Resulting Health Impacts,Custodio V. Muianga,"1Agency for Toxic Substance and Disease Registry (ATSDR), Office of Innovation and Analytics, Atlanta, GA | 2CDC-ATSDR ORISE Fellowship, Atlanta, GA | 3ATSDR, Office of ATSDR Associate Director, Atlanta, GA"
CONF_3360,The Effects of Nano-Microplastics Exposure on Alzheimer’s Disease Pathology Characterized in APP/PSEN1 Mice,Mackenzie Pavlik,"Department of Biomedical and Pharmaceutical Sciences, College of Pharmacy, University of Rhode Island Kingston, RI, USA | George and Anne Ryan Institute for Neuroscience, University of Rhode Island, Kingston, RI, USA"
CONF_3361,The State of Global Policy on Microplastics,Julia Cohen,
CONF_3363,Toxins in Tandem: Dissecting the Combined Nephrocardiac Impact of Microplastics and Arsenic,Sebastian Stoker,"1 Department of Pharmaceutical Sciences, The University of New Mexico, Albuquerque, New Mexico, USA | 2 Department of Emergency Medicine, The University of New Mexico, Albuquerque, New Mexico, USA | 3 Department of Cell Biology and Physiology, The University of New Mexico, Albuquerque, New Mexico, USA"
CONF_3364,Trace Level Quantitation of Micro- and Nanoplastics Utilizing Thermal Desorption and Pyrolysis–GC/MS Coupled with Selective Ion Monitoring: Development and Validation,ing Thermal Desorption and Pyrolysis–GC/MS Coupled with,
CONF_3365,Using narrative portraiture to understand experiences of plastics in the UNESCO Biosphere Reserve of Menorca (Spain),Bethany Jorgensen,"1 NM-INSPIRES Center, University of New Mexico | 2 Global Development, Cornell University | 3 Civic Ecology Lab, Cornell University"
CONF_3366,Visualization of micro/nanoplastic (MNP) particles within historical and modern tissue samples of Dipodomys ordii,via transmission electron microscopy,"Eve N. Rowland1, Matthew J. Campen2, Jonathan L. Dunnum1, Joseph A. Cook1, Rui Liu2, Eliane El Hayek2, Sakshi Patil2, | Marcus A. Garcia2 | 1 Biology Department and Museum of Southwestern Biology, University of New Mexico, Albuquerque, NM, USA | 2 Department of Pharmaceutical Sciences, University of New Mexico, Albuquerque, NM, USA"
