PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC,LLM_MECH_OXIDATIVE,LLM_MECH_INFLAMMATION,LLM_MECH_BARRIER,LLM_MECH_MICROBIOME,LLM_MECH_ENDOCRINE,LLM_MECH_NEURODEGENERATION,LLM_MECH_IMMUNE,LLM_MECH_DNA_DAMAGE,LLM_MECH_RECEPTOR,LLM_MECH_CELL_DEATH,LLM_OTHER_MECHANISMS,LLM_MECH_METABOLIC,doi,pub_date,STUDY_DETECTION_HUMAN,STUDY_EXPOSURE,FIRST_LAST_AUTHOR_ORG,LLM_HUMAN_HEALTH_RELEVANT,LLM_CONFIDENCE,LLM_STUDY_DETECTION,LLM_STUDY_EXPOSURE_ASSESSMENT,LLM_MECH_OXIDATIVE_STRESS,LLM_MECH_BARRIER_DISRUPTION,LLM_MECH_IMMUNE_DYSFUNCTION,LLM_MECH_RECEPTOR_SIGNALING,LLM_ORGAN_BRAIN_NERVOUS,LLM_ORGAN_CARDIOVASCULAR,LLM_ORGAN_GI_GUT,LLM_ORGAN_RESPIRATORY,LLM_ORGAN_REPRODUCTIVE,LLM_ORGAN_LIVER,LLM_ORGAN_KIDNEY,LLM_ORGAN_IMMUNE,LLM_ORGAN_ENDOCRINE,LLM_MODEL_INVITRO,LLM_MODEL_RODENT,LLM_MODEL_ZEBRAFISH,LLM_MODEL_HUMAN,LLM_MODEL_ENVIRONMENTAL,LLM_MODEL_OTHER_ANIMAL
Exposure to Polystyrene Microplastics Potentiates Macrophage-Mediated Proinflammatory Responses,"Although MPs are widespread, the biological consequences of MP exposure remain poorly understood, particularly regarding their effects on the immune system. Macrophages play a central role in innate immunity; however, emerging evidence suggests they have limited capacity to phagocytose MPs, potentially leading to cellular dysfunction and dysregulated immune responses. The objective of this study was to evaluate the effects of polystyrene MPs on macrophage polarization and function using human and mouse macrophage cell models. Here, THP-1 human monocytes were differentiated into macrophages with phorbol 12-myristate 13-acetate (PMA) and were polarized toward either M1 (via lipopolysaccharide, LPS) or M2 (via IL-4) phenotypes. Cells were then exposed to 1 µm or 5 µm polystyrene MPs at concentrations of 0, 10, or 100 µg/mL for up to six days. Various endpoints related to monocytic function and polarization were assessed such as cellular metabolic activity, phagocytic capacity, cytokine secretion, and pro-inflammatory gene expression. Results showed that the highest concentration of MPs significantly suppressed THP-1 monocyte growth. Interestingly, exposure to MPs enhanced the metabolic and phagocytic activity of M1 macrophages, suggesting a heightened proinflammatory phenotype. Consistent with this, MP-treated M1 macrophages exhibited increased secretion of IL-1β and TNF-α following LPS stimulation. Conversely, MPs suppressed the secretion of the anti-inflammatory cytokine IL-10 in M2 macrophages, indicating impairment of a pro-resolving phenotype. Together, these findings suggest that MPs exacerbate inflammatory responses while suppressing anti-inflammatory pathways, thereby disrupting macrophage polarization dynamics. Complementary studies are currently underway to validate these findings using primary mouse alveolar macrophage-like models. Results from the present study provide important insight into the immunotoxicity of microplastics and will serve as a foundation for future mechanistic investigations. Funding: This work was supported by the NIEHS Core Center Grant P30ES032755; the UNM Center for Metals in Biology and Medicine through NIGMS Grant P20 GM130422; the NIEHS UNM METALS Superfund Research Program Grant P42 ES025589; and the UNM Comprehensive Cancer Center Grant NCI P30CA118100.",CONF_3257,Lauren K. Heine,University of New Mexico College of Pharmacy,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,1,1,0,1,0,1,0,0,,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
From Behavior to Exposure: Integrating Expert Weighting and Machine Learning to Assess Multidimensional Drivers,"Although some studies have examined how contact time and temperature affect the total amount of release, no systematic work has addressed their effects on release kinetics or particle release mechanisms. In this work, we systematically examined the release kinetics of NMPs from PP and PET, under multiple temperature conditions with two types of food simulants (i.e., ultrapure water and 3% acetic acid). To reduce the influence of plastic additives on particle release, we used standard-grade PP and PET rather than consumer products. We exposed PP and PET 76 to ultrapure water (simulating bottled water, coffee, and tea) and 3% acetic acid (simulating beverages, juices, and syrups) at temperatures from 20 to 90 °C, from 0.5 minutes to 10 days. To understand release mechanisms, we examined plastic surfaces before and after exposure for morphology, carbonyl index, surface roughness, and chemical composition. NMP release from both PP and PET increased strongly with temperature and contact time and was approximately linear over the exposure period. Short, high-temperature exposures (70–90 °C) produced particle counts within 4 hours that exceeded those observed after 10 days at 20–40 °C, indicating much faster release at elevated temperatures. PET followed the same trends as PP but released fewer particles under comparable conditions. In all experiments, NPs dominated over MPs: at 90 °C and 4 hours, NPs outnumbered MPs by factors of about 16 for PP and 23 for PET. Overall, these results show that modest increases in temperature and duration substantially enhance NMP release from common food-contact plastics, with the released particles predominantly in the nano-size range. Keywords: Plastic food packaging, nano- and microplastics, release kinetics, human exposure.",CONF_3258,Cesar Gomez,University of Nebraska-Lincoln,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
From Ocean to Organism: Decoding the Cellular Impact of Microplastic Exposure on Peripheral Blood Mononuclear Cells (PBMCs),"The application of single-cell RNA sequencing (scRNA-seq) provides an advanced framework for dissecting cellular responses to microplastic exposure, capturing nuances that conventional bulk RNA analyses may overlook. 82 OBJECTIVE: Characterize the dose-dependent transcriptional alterations in human peripheral blood mononuclear cells (PBMCs) following microplastic exposure and correlate these changes with established patterns from recognized inflammatory stimuli. METHODS: PBMCs were exposed to microplastics at various concentrations and exposure times. Lipopolysaccharide (LPS) and a PMA/ionomycin cocktail served as positive controls. scRNA-seq libraries were sequenced via Illumina NextSeq 2000. Data was processed with Illumina/DRAGEN and analyzed in Seurat with standard QC, integration, clustering, and annotation. Cell-type–stratified pseudobulk differential expression, pathway enrichment, and module scoring evaluated key programs (NF-κB/inflammation, interferon-stimulated genes, lysosome/endocytosis, oxidative phosphorylation, and cellular stress). PRELIMINARY FINDINGS: Microplastic exposure elicited dose-dependent transcriptional alterations that were cell typespecific. Notably, classical and intermediate monocytes, along with dendritic cells, exhibited pronounced transcriptional changes characterized by upregulation of genes associated with lysosomal and endocytic trafficking, oxidative stress responses, and moderate inflammatory signaling. T and NK cells demonstrated a shift towards activated or stressassociated phenotypes, marked by reprogramming of their cytotoxic functions and metabolic pathways. In contrast, B cells exhibited modifications in antigen processing and presentation routes. When comparing to controls, LPS stimulation resulted in widespread inflammatory and interferon-related expression profiles across various cell lineages, whereas PMA/ionomycin predominantly influenced T-cell activation dynamics. Dimensionality reduction and integrated mapping revealed that microplastic-associated transcriptional states were localized within distinct subclusters, suggesting specific remodeling patterns that, while partially overlapping, were distinguishable from those induced by traditional inflammatory stimuli. SUMMARY & NEXT STEPS: This preliminary single-cell dataset reveals the relationship between microplastic exposure and cell-type–specific transcriptional responses in PBMCs. The findings highlight the involvement of lysosomal trafficking and metabolic stress pathways, particularly within the monocyte and dendritic cell subsets, as promising candidates for deeper exploration in immunotoxicology research. Future directions encompass the expansion of time points, concentrations, and various microplastic types to enhance understanding of these effects.",CONF_3259,Edgar U. Carrete,1 University of New Mexico School of Medicine,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,1,0,1,0,1,0,0,,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,"lysosomal trafficking, endocytic trafficking, metabolic reprogramming",1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Indoor Hospital Airborne Microplastic Contamination and Antimicrobial-Resistant Pathogens,"Antimicrobial-resistant (AMR) infections are responsible for an estimated 2.8 million annual cases, resulting in more than 35,000 deaths in 2019 alone. Additionally, the Centers for Disease Control and Prevention data emphasize that the transmission of the most dangerous AMR infections occurs in healthcare settings, which is associated with more than $4.6 billion in annual healthcare costs. Various methods are known to facilitate the spread of AMR genes and infections in hospital settings; however, the influence of suspended atmospheric micro- and nanoplastic (MNP) particles and the potential role of indoor air MNP particles in the horizontal gene transfer of AMR genes remain underexplored. MNP particles, defined as particles smaller than 5 mm that originate from the degradation of larger plastics in soil, water, and air, possess specific characteristics, such as “hydrophobicity, enhanced adsorption, and unique surface chemistry” that render them ideal substrates for biofilm formation and facilitate horizontal AMR gene transfer. Horizontal gene transfer is the transfer of genetic material between organisms, a method that facilitates the proliferation of AMR genes, thereby exacerbating the issue of AMR infections. The long-term goal of this application is to develop a method that can prevent the horizontal transfer of AMR genes via MNP particles present in indoor hospital air. The objective of this project is to eliminate MNP particles in indoor air in healthcare settings to reduce the transfer of AMR genes and minimize healthcare-acquired infections. There are two specific aims: (i) To test the hypothesis that there are considerable MNP particles in indoor hospitals. (ii)To test the hypothesis that the suspended indoor air MNP particles carry AMR genes and are associated with horizontal gene transfer. We will use a PM10-high-volume air sampler in various hospital units to measure the concentration of suspended indoor air microplastics. We will use the 16s ribosomal RNA gene sequencing to isolate the microbial genes.",CONF_3260,Dr. Maryam Hamidi,"1 University of New Mexico, College of Nursing | 2 University of New Mexico, College of Pharmacy | 3 University of New Mexico, College of Engineering | 4 University of New Mexico",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Label-Free In Vivo Imaging of Nanoplastics Biodistribution by Stimulated Raman Scattering Microscopy,"The biological fate of nanoplastics remains poorly understood due to the lack of analytical tools capable of label-free, chemically specific imaging in complex tissue environments. Here, we demonstrate the use of stimulated Raman scattering (SRS) microscopy to visualize and quantify nanoplastics in vivo with high sensitivity and without fluorescent labeling. Using polystyrene nanoparticles as a model system, we injected nanoplastics into mice and harvested tissues for imaging. Our approach circumvents tissue autofluorescence and leverages polymer-specific vibrational signatures to identify and count plastic particles within biological matrices. With single-particle resolution, we reveal the long-term retention of nanoplastics across multiple tissues, quantify their abundance in situ, and map their spatial distribution and heterogeneity of interactions with surrounding biomolecules. This work establishes SRS microscopy as a powerful label-free strategy to investigate nanoplastic biodistribution and persistence in vivo, providing critical insights into their potential health impacts.",CONF_3263,Naixin Qian,Columbia University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0,0,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Maternal Transfer and Systemic Deposition of Polyamide-12 Micro and Nanoplastics Into the F1 Generation: a Cross-Foster Rat Study,"Micro- and nanoplastics (MNPs) are increasingly recognized as emerging environmental and occupational contaminants with the potential to distribute beyond primary portals of entry and accumulate in internal organs. Although the systemic movement of MNPs is receiving growing attention, very little is known about exposure during pregnancy. Our laboratory has identified MNP neonatal tissues after maternal inhalation exposure throughout pregnancy. In this work, it is unclear if the majority of these particles are passaged across the placental barrier during gestation or across the GI via lactation during neonatal feeding. Therefore, the purpose of this study was to identify how gestational or neonatal exposure influences offspring MNP tissue burdens and localization in the F1 generation. To address these gaps, we conducted a cross-foster study in Sprague Dawley rats using polyamide-12 (PA-12) MNPs, an industrially relevant engineering polymer frequently identified in airborne particulate matter and human tissues. Adult rats were exposed to PA-12 MNP aerosols or clean air 95 from gestational day (GD) 6 to 19 and randomly assigned to four foster combinations that enabled separation of exposure pathways: control dam with control pups, control dam with exposed pups, exposed dam with control pups, and exposed dam with exposed pups. At necropsy, F1 offspring were evaluated for PA-12 presence in brain, lung, and heart using analytical and visual techniques to verify the presence of PA-12 particulate. Tissue burdens were quantified using pyrolysis gas chromatography mass spectrometry (Py-GC-MS), targeting PA-12 specific marker ions to confirm polymer identity and mass within each organ. PA-12 particulate were visualized and quantified within the tissues using hyperspectral dark-field microscopy (CytoViva, Inc). As expected, the MNP burden was greatest in the pups exposed during gestation and neonatal feeding in the heart and lungs, followed by animals exposed in pregnancy only. Interestingly, in the brain, the MNP burden was greatest in animals exposed during the lactational period only, followed by gestation only. These findings provide new evidence that PA-12 MNPs can cross maternal barriers, reach multiple organs in developing offspring, and persist through early life, highlighting the importance of considering parental exposure status and intergenerational transfer when evaluating MNP health risks. Supported By: NIH R01-ES-031285, P30-ES-005022, P20-GM130422, and T32-ES-007148",CONF_3264,Justin Kidd,1 Rutgers University | 2 University of New Mexico | 3 New Jersey Department of Environmental Protection,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0.0,0,1,0,1,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Micro and nanoplastic inhalation throughout pregnancy disrupts placental invasion and morphology in SpragueDawley rats,"M Aleksunes1, Chelsea M Cary1 1 Department of Pharmacology and Toxicology and Environmental and Occupational Health Sciences Institute, Rutgers University, Piscataway, New Jersey 08854, USA Micro- and nanoplastic particles (MNP) are a ubiquitous environmental contaminants. Multiple studies have shown that MNP translocate to and deposit within human placental tissues. Central to placental function is appropriate uterine invasion and the adequate development of maternal-fetal blood spaces for nutrient and waste exchange. Impaired to placental invasion and morphological development have been associated with decreased maternal health and poor fetal outcomes. To date, placental development has not been assessed following maternal exposure to MNP throughout pregnancy. Pregnant Sprague-Dawley rats were exposed to polyamide-12 (nylon) MNP from gestational day (GD) 5 through GD 19. Gross and histological analysis of placental morphology, invasion of spiral arteries, and angiogenic signaling were evaluated on male and female placentas at GD 20. Maternal MNP inhalation reduced the relative distance of trophoblast invasion into the uterus and limited spiral artery remodeling as evidenced by residual staining of smooth muscle actin. Moreover, MNP inhalation significantly altered the size and number of maternal and fetal blood spaces collectively reducing surface area for maternal-fetal nutrient/waste exchange. Lastly, there were key changes in the enrichment and spatial distribution of angiogenic and antiangiogenic mRNA transcripts that regulate branching and surface area for maternal-fetal exchange in the placenta. Placental invasion, development, and morphology are necessary for a successful pregnancy and the maintenance of maternal-fetal health. Disrupted development can have severe consequences for the mother and developing fetus. Future studies are required to assess the influence of MNP exposure on generational health. Supported By: R01- ES-031285, P30-ES-005022, T32-ES-007148, F31-ES-035256",CONF_3266,Phoebe A Stapleton,"M Aleksunes1, Chelsea M Cary1 | 1 Department of Pharmacology and Toxicology and Environmental and Occupational Health Sciences Institute, Rutgers University, Piscataway, New Jersey 08854, USA",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,1,1,0,1,0,1,0,0,,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"placental development disruption, angiogenesis disruption",1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Micro- and Nanoplastics Release and Toxicity from Disposable Coffee Cups under Consumer-Relevant Conditions,"The study provides the first quantitative evidence of MNP release from commercial coffee cups under realistic consumer conditions and demonstrates direct cytotoxic effects using cup-derived particles. MNP release increased with temperature, exposure duration, and agitation, with nanoplastic concentrations (up to 6.0 × 10⁸ particles/mL) being 102-103 times higher than microplastic levels. Pre-use rinsing significantly reduced release by 65-85%, indicating loosely adhered surface residues as a dominant source. Spectroscopic analyses identified polyethylene and polypropylene as the dominant polymers (with 36% each), with scanning electron microscopy revealing irregular, fractured morphologies consistent with thermal and mechanical degradation. Toxicological assessment using femtosecond laser-generated cup-derived particles demonstrated dose- and time-dependent cytotoxicity in human kidney epithelial cells, with IC₅₀ values decreasing from 1220 µg/mL (24 h) to 158 µg/mL (72 h). Red blood cell hemolysis exceeded 25% after 4-h exposure, indicating significant membrane disruption potential, while oxidative stress responses were minimal. These findings establish disposable coffee cups as a significant source of ingestible polymer particles with demonstrated cytotoxicity. The results highlight an urgent public health concern that necessitates attention to product safety standards and consumer protection measures. Keywords: Disposable coffee cups; Polyethylene nanoplastics; Hemolysis; Reactive Oxygen Species; Thermal degradation; Cytotoxicity; Human kidney epithelial cells",CONF_3267,Olivier Irumva,"Lu3, Yusong Li1 | 1 Department of Civil and Environmental Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-053, United States | 2 Nanomaterials Characterization Core, University of Nebraska Medical Center, Omaha, Nebraska 68198, United States",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,1,1,1,0,0,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"hemolysis, membrane disruption",0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Microplastic bioaccumulation in a mammal of conservation concern, the San Nicolas Island Fox (Urocyon littoralis dickeyi)","Microplastics and nanoplastics (MNPs) are found in diverse environments worldwide and hypothetically accumulate in wild and domestic mammals in a variety of vital organs. Because of concerns for human bioaccumulation of MNPs and possible health effects, understanding the scope of environmental contamination and possible routes of exposure in animals is essential to mitigating risk from this pollutant. Samples of brain tissue from island foxes (Urocyon littoralis dickeyi) endemic to San Nicolas Island (SNI) were archived over multiple decades (2003-2023) and provide a temporal record of potential exposure to environmental contaminants, making this an ideal group for testing MNP bioaccumulation. SNI has a small human population so the limited human interactions with SNI foxes provides an exceptional system for investigating environmental contamination in wildlife. A subset of the fox specimens (n = 34) was assessed using pyrolysis-gas chromatography/mass spectrometry and transmission electron microscopy to document MNP bioaccumulation. We found evidence of nylon, polyethylene, and poly(methyl methacrylate) in high concentrations in brain tissue, but no evidence of different concentrations between sexes, age classes, or year of death, suggesting exposure to these contaminants over several decades in these insular foxes. Potential anthropogenic sources include beach cast plastic and military machinery and infrastructure. Our findings emphasize that MNP accumulation may be widespread in wildlife and should be monitored as a potential stressor for species of conservation concern even in relatively remote systems.",CONF_3269,Eve N. Rowland,"Hayek2, Sakshi Patil2, Marcus A. Garcia2 | 1 Biology Department and Museum of Southwestern Biology, University of New Mexico, Albuquerque, NM, USA | 2 Department of Pharmaceutical Sciences, University of New Mexico, Albuquerque, NM, USA | 3 Environmental Planning and Conservation Branch, Naval Base Ventura County, Point Mugu, CA, USA",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,0,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Microplastics Analysis and Workflow using Infrared Microscopy,"PerkinElmer US LLC Identification and quantification of microplastics in various sample types is crucial to further our understanding of the impacts of microplastics on human health and the environment. Infrared microscopy is a leading analytical technique for the analysis of microplastics. Using IR microscopy, the infrared spectra of individual microplastic particles are collected and used to identify the polymer type. The combined visible imaging system is used to collect visible images enabling measurements of size, shape, and count for each polymer type. In this presentation, a typical microplastic analysis workflow using IR microscopy will be demonstrated. Challenges associated with organic matrix interference (eg. from wastewater) will be discussed, and data processing techniques to address these challenges will be shown.",CONF_3270,Warren Edmunds,75,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
NLRP3 inflammasome activation is a potential mechanism linking oral micro-nanoplastics exposure to atherosclerosis,"Emerging studies have linked MNPs exposure to adverse cardiovascular outcomes. MNPs have been detected in multiple human tissues including arterial plaques. However, the underlying mechanisms linking MNPs exposure to disease outcomes are largely unknown. Hypothesis: In this study, we tested the hypothesis that the exposure to MNPs promotes sustained inflammation through NLRP3 inflammasome activation leading to adverse outcomes. Methods and Results: To test this hypothesis, we initially examined the mRNA expression levels of NLRP3 and IL-1beta, a pro-inflammatory cytokine produced and secreted as a consequence of inflammasome activation, in the aortas of exposed mice. We found that mice consuming either polystyrene (PS) beads or the combination of polyethylene and polyvinyl chloride (PE+PVC) beads had increased levels of NLRP3 (2.07 and 2.05-fold respectively). While IL-1beta levels remained at baseline in PE+PVC-exposed mice, levels increased by 2.58-fold in PS-exposed mice. Follow up studies were conducted in macrophage-differentiated THP-1 cells. When treated with a mixture of ocean-derived MNPs (10 ug/ml for 24hr), these cells demonstrated increased secretion of IL-1beta into culture media (average of 5.86-fold over untreated cells). This increase was blocked by co-incubation with the NLRP3 inhibitor, MCC950 (0.54-fold increase over untreated cells). Interestingly, when C57BL/6J mice were orally gavaged with the ocean-derived MNPs (5mg/kg) they also demonstrated increased endothelial expression of NLRP3 (1.23-fold) and IL-1beta (1.47-fold) over control mice. Conclusions: These results indicate that exposure to MNPs promotes NLRP3 inflammasome activation and suggest that this may be a mechanism contributing to sustained inflammation and adverse cardiovascular outcomes.",CONF_3271,Jingjing Zhao,University of Louisville,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychiatric Implications of Plastic Pollution,"Recent findings of micro- and nanoplastics (MNPs) in human brains have prompted widespread concern about their impact on the brain. This talk will present a framework for understanding the myriad ways that plastics can impact the brain from a neuropsychiatric perspective. Firstly, the framework recognizes that MNPs directly impact brain health through multiple pathways, including altered gene expression, cytotoxicity, oxidative damage, mitochondrial dysfunction, and/or altered protein folding. Secondly, the framework acknowledges that brain health also depends on bodily health. MNPs have been linked to heart attacks and strokes, gastrointestinal inflammation and dysbiosis, placental dysfunction, and cancer. All of these are risk factors for neurodevelopmental, mental health, or neurocognitive disorders. Thirdly, the framework integrates the plastics life cycle into the health assessment. Plastics production and disposal contribute to climate change, air pollution, and environmental injustices, which carry their own independent risks for various neuropsychiatric conditions. Furthermore, plastics use causes exposure to plastics-related chemicals, which carry their own direct and indirect impacts on the brain. Finally, the framework conveys the quality of evidence behind each mechanism or health risk. Transparent communication about how established these findings are is necessary to maintain public trust.",CONF_3272,Elizabeth Ryznar,"1 Department of Psychiatry, St. George's University | 2 Department of Psychiatry and Behavioral Sciences, Johns Hopkins School of Medicine | 3 The Physician and Scientist Network Addressing Plastics and Health",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,"altered gene expression, altered protein folding",0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
