PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC
A machine-learning powered pipeline for microplastic quantification and classification using Py-GC/HRMS,"Ubiquitous microplastic exposure raises concerns for human health. However, the exposure assessment of microplastics continues to be a formidable challenge, with over 2,400 substances exhibiting potentially toxicity. Existing analytical methods remain limited in identifying signals from complex mixtures, with traditional approaches primarily focusing on quantitative analysis of target polymers and relying on manual compound annotations. Our team established a pipeline to quantify and classify microplastic polymers based on Pyrolysis–GC/High-resolution MS (Py-GC/HRMS) total chromatogram full-scan mode data. Further, it validated the additivity of the full-spectrum signal matrix. We proposed and implemented a novel framework with the ability to deconvolute mixture microplastic signals, which was constructed through random linear addition of signal matrix from different polymers and concentrations in our experimental dataset. This method effectively identifies major components and their absolute concentrations. Capable of automated and reproducible processing of high-throughput data. With the establishment of a comprehensive polymer reference database, this framework demonstrates signi",CONF_3195,Yingyue Ni,Boston University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Similarities across responses in fish to diverse micro and nanoplastic particle types, informing common mechanisms of action across vertebrates","Micro and nanoplastics (MNPs) are ubiquitous in the environment and have been detected in most ecosystems, including those that are relatively isolated. The class of contaminants categorized as MNPs are quite broad and encompass variable polymer types, shapes, and sizes. Few studies have compared responses between varied particle types. Fibers are the most frequently detected in the environment, followed by fragments, but also represent a relatively small number of studies. Additionally, most research is conducted using virgin particles when the majority of MNP pollution is from secondary microplastics, which have weathered and broken down over time, modifying surface properties and density. To address these data gaps, we exposed the model fish Inland Silverside, Menidia beryllina, for 21-days to micro and nano cryo-milled tire particles, micro and nano polylactic acid, and polyester microfibers, with both weathered and unweathered treatments included in testing. We evaluated the impacts of these particles on growth, behavior, and gene expression to compare the relative toxicities of the different particles. Overall, the nanoparticles (both PLA and TP) and weathered fibers had the grea",CONF_3196,Susanne Brander,Oregon State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leveraging xenopus to assess the risks of microplastic exposure on development and immunity,"Microplastics (1µm-5mm) are ubiquitous in the environment and possess a variety of different shapes and compositions. While bioaccumulation and biological effects of pristine microspheres at high concentrations have been extensively investigated, less is known about effects of low concentration of more realistic microplastics with variable sizes (1-20 um) and irregular shapes (I-MPs). To investigate the immunotoxicology and longterm developmental perturbations of exposure to I-MPs, we have leveraged a comparative biology approach using the amphibian Xenopus. Fully aquatic tadpoles are ideal experimental organism because their post-embryonic development including the immune system is external and not protected by the maternal environment, which make them are especially sensitive to perturbations by water pollutants. Furthermore, the development and physiology of Xenopus are remarkably similar to those of humans. Accumulation rate in tadpole of two types of I-MPs (Polyethylene terephthalate [PET] and Nylon) fluorescently labeled with Nile red was evaluated by fluorescence microscopy on whole mounted tissues and by situ enzymatic digestion followed by filtration using silicon nanomembranes.",CONF_3197,Jacques Robert,University of Rochester,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
"Spatial and Seasonal Patterns of Riverine Microplastics and Their Ecological Risks: A Case Study from the Cauvery River, India","Microplastic (MP) pollution in freshwater ecosystems poses a growing global concern due to its persistence, ecological risks, and potential for long-range transport. This study assessed the abundance, characteristics, polymer composition, and ecological risks of MPs in surface water from 19 sites along the Cauvery River, Tamil Nadu, India, during the dry (February) and wet (November) seasons. MP concentrations ranged from 0.52 to 6.16 particles L�¹, with higher values observed during the wet season, highlighting seasonal influences on transport and accumulation. Identified morphotypes included fibers, films, fragments, pellets, and beads, with fibers dominating. Most particles ranged between 500–1000 µm in size. Scanning electron microscopy indicated advanced weathering features such as cracks, fibrils, and surface pitting. Polymer analysis using µ-FTIR, Raman spectroscopy, and pyrolysis-GC/MS confirmed the presence of polyethylene (PE), polyethylene terephthalate (PET), polystyrene (PS), and polyamide (PA). The polymer hazard index (PHI) varied from 20.2 to 29.65, classifying all sites as moderate hazard (Class III). Comparative insights with other Indian and 33 VOL 1 research semina",CONF_3198,Girija Prasad,CIPET:SARP-LARPM,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Structural degradation of microplastics from thermal oxidation increases carbon leaching in aquatic environments,"This study aims to quantify and compare the leaching potential of polyvinyl chloride (PVC) and polyethylene terephthalate (PET) microplastics (MPs) after exposure to thermal oxidation. The rising global incidence of wildfires along with the frequency of open burning makes the thermal oxidation of MPs an emerging environmental concern. Although this process alters the chemical structure of MPs and may alter their behavior in the environment, the specific impacts of thermal oxidation on MP leaching mechanisms remain poorly understood. We quantified total carbon (TC) and dissolved organic carbon (DOC) in MP leachates using a total organic carbon (TOC) analyzer to compare release behavior differences between thermally oxidized MPs and non-thermally oxidized MPs when exposed to freshwater and DI water. To track chemical and physical changes before and after thermal oxidation and leaching, we analyzed MPs using attenuated total reflectance Fourier transform infrared (ATR-FTIR) spectroscopy, scanning electron microscopy (SEM), elemental analysis (EDS), and zeta potential (ZP) measurements. These characterization techniques showed changes to elemental composition, increased carbonyl index, and",CONF_3199,Karen McGuire-Diemer,Oklahoma State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Exposure of U.S. Adults to Microplastics from Commonly-Consumed Proteins,"This research, published in 2024, investigated microplastic (MP) contamination in 16 commonly-consumed protein products (seafoods, terrestrial meats, and plant-based proteins) purchased in the United States (U.S.) with different levels of processing (unprocessed, minimally-processed, and highly-processed), brands (1 – 4 per product type, depending on availability) and store types (conventional supermarket and grocer featuring mostly natural/organic products). Mean (±stdev) MP contamination per serving among the products was 74 ± 220 particles (ranging from 2 ± 2 particles in chicken breast to 370 ± 580 in breaded shrimp). Concentrations (MPs/g tissue) differed between processing levels, with highly-processed products containing significantly more MPs than minimally-processed products (p = 0.0049). There were no significant differences among the same product from different brands or store types. Integrating these results with protein consumption data from the American public, we estimate that the mean annual exposure of adults to MPs in these proteins is 11,000 ± 29,000 particles, with a maximum estimated exposure of 3.8 million MPs/year. These findings further inform estimations of human",CONF_3200,Britta Baechler,Ocean Conservancy,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessment of occupational exposure to micro/nano particles generated from carbon fiber-reinforced plastic processing,"Carbon fiber-reinforced plastics (CFRP) are leading functional materials with superior strength and low mass density compared to metal. Our previous factory site analyses found that CFRP processing generates fibrous debris and fine micro/nano-sized particles of various shapes. The present interventional study was conducted at a factory located in Japan and evaluated debris consisting of various-sized particles generated during the industrial processing of CFRP, such as cutting, grinding, and turning of CFRP pipes, using real-time particle monitoring devices of the following: PM4 Digital Dust Monitor (DDM), handled Optical Particle Counter (OPC), Condensation Particle Counter (CPC), and Scanning Mobility Particle Sizer (SMPS). In addition, personal exposure of workers was evaluated using a novel wearable PM2.5-compatible device (P-sensor). First, we confirmed the presence of micro/nano particles in the dust generated during industrial processing of CFRP. Finer CFRP-generated particles were detected by the nanoparticle-compatible devices; CPC and SMPS, but not by OPC or DDM. The dynamic detection pattern of the P-sensor resembled that recorded by the nanoparticle-compatible devices. The",CONF_3201,Gaku Ichihara,Tokyo University of Science,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Packaging to Plate: Systematic Review and Meta-Analysis of Nanoplastics and Microplastics Release from Food Packaging,"Increasing evidence indicates that nanoplastics (NPs) and microplastics (MPs) are released from plastic packaging into food, raising concerns about human exposure to these particles. This systematic review and meta-analysis explores the occurrence and release of NPs and MPs from plastic food packaging into food. Our analysis revealed significant variation in reported occurrence and release of NPs and MPs across studies for different packaging types. For example, paper cups were found to release the highest number concentration of particles, up to 5.4 trillion particles per liter, with sizes ranging from 15 nm to 325 nm. In contrast, fish packaging released the lowest concentration, with only 7 particles per liter, ranging from 50 to 500 µm. Interestingly, we found that studies using methods capable of detecting smaller particles reported higher concentrations of NPs and MPs, regardless of the packaging or material types, release conditions, or study location. NPs and MPs detected in plastic packaging predominantly originate from the packaging materials themselves, although airborne sources or chemicals and simulants used in the studies can also contribute. Elevated temperatures consis",CONF_3202,Kazi Albab Hussain,University of Nebraska-Lincoln,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Microplastic Exposure in Indian Hospitals: Ingestion Risks from Settled Dust, Characterization, and Implications for Vulnerable Populations","Microplastics (MPs) in indoor environments represent an emerging pollutant with significant human health implications, particularly through ingestion and",CONF_3203,Nisarg Mehta,Silesian University of Technology,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microplastics consumption potentiates atherosclerotic lesion development in ApoE-/- mice,"Vast amounts of plastic materials are produced in the modern world and despite recycling efforts, much of this material is disposed in water systems and landfills. In these conditions, physical weathering and photochemical processes break down these polymers into smaller particles of the micro- and nano-scale. In addition, ecosystems can be contaminated with plastic particles which are manufactured in these size ranges for commercial purposes. Independent of source, micro- and nano-plastics (MNP) are abundant in the environment and humans are exposed to these materials through consumption, inhalation, or absorption. Indeed, MNP have now been identified in multiple human tissues. Nevertheless, the health consequences of MNP exposure are largely unknown. Given reports of MMP accumulation in human cardiovascular tissues and some associations with adverse outcomes, we examined if MNP consumption might directly contribute to atherogenesis using a mouse mice. For this study we supplied disease prone, ApoE-/mice with normal chow and either normal drinking water or that containing polystyrene beads (PS: 0.5�m, 1�g/ml) for 20wk. At the end of this time period, we observed significantly increase",CONF_3204,Tim O'Toole,University of Louisville,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0
Microplastic exposure elicits sex-specific atherosclerosis development in low-density lipoprotein receptor-deficient mice,"Microplastics (MPs) are small plastic particles emerging as significant environmental pollutants and humans are ubiquitously exposed to microplastics. MPs can be detected in human atherosclerotic plaques and have been associated with a higher risk of cardiovascular disease (CVD) and stroke in humans. However, the impact of MP exposure on the cardiovascular system remains elusive. In the current study, we investigated the effects of MP exposure on atherosclerosis development in low-density lipoprotein receptor-deficient (LDLR-/-) mice. Male and female LDLR-/- mice were fed a semi-synthetic low-fat diet and exposed to MPs via daily oral gavage for 9 weeks. We found that exposure to MPs did not affect body weight and circulating lipid profiles in both male and female LDLR-/mice. Intriguingly, MP exposure led to significantly increased atherosclerosis in male but not female LDLR-/mice. Single-cell RNA sequencing analysis of the whole aorta revealed that exposure to MPs affected the proportions and cellular processes of key atherogenesis-related cell types, especially endothelia cells. Consistently, MP exposure elicited pro-atherogenic gene expression in murine primary endothelia cells in 36",CONF_3205,Changcheng Zhou,University of California at Riverside,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dietary Ocean Micronanoplastics are Associated Accelerated Atherosclerosis in ApoE-/- Mice,"Micronanoplastics (MNPs) are a recently recognized ubiquitous environmental contaminant linked to atherosclerotic and cardiovascular disease outcomes in humans. The mechanisms by which MNPs may affect the pathophysiology of atherosclerosis remain obscure. Animal models of atherosclerosis development, such as the ApoE-/- mouse, may permit the study of MNP-atheroma interactions in a controlled setting. We aim to investigate the effects of dietary ocean-derived MNPs on atherosclerosis development. Methods: Adult male and female ApoE-/- mice (n=5-7/group) were fed standard or Western diet (WD) with and without 1% (w/w) added ocean MNPs milled into the chow. After 6 or 12 weeks of exposure, animals underwent aortic pulse wave velocity (PWV) recordings using the transit time method. Whole aortas were used to measure atheroma development using Oil Red O (ORO) assay and aortic root histologic analysis by H&E. Ex vivo pin myography of 5 mm aortic rings evaluated wall stiffness by collagen and elastin modulus. Bulk RNAseq of dissociated aortic tissue compared differential gene expression between MNP exposures. Results: Animal weights did not differ between MNP-fed and control (non-MNP) animals wi",CONF_3206,Ross Clark,University of New Mexico,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Deciphering the Causal Impacts of Polyethylene and Polyvinyl Chloride Nanoplastics on Vascular Remodeling and Atherosclerosis,"Plastic degradation generates micro- and nanoplastics (MNPs), which are now detected in drinking water, food sources, and air, raising concerns about their cardiovascular effects. Nanoplastics (NPs) are particularly worrisome due to their ability to penetrate biological barriers, circulate systemically, and interact with vascular and immune cells. Recent human studies have revealed accumulation of polyethylene (PE) and polyvinyl chloride (PVC) MNPs in atherosclerotic plaques, correlating with elevated cardiovascular risk. However, the causal and mechanistic links between NP exposure and atherosclerosis remain unclear. Here, we investigated polymer-specific effects of chronic waterborne PE and PVC NPs on atherosclerosis using ApoE�/� mice fed a high-fat diet (HFD) for 16 weeks. Both polymers accumulated in aortic plaques and resulted in an increased plaque burden. However, scRNA-Seq analyses revealed that PE and PVC induced distinct transcriptional effects in mature and modulated smooth muscle cells (SMCs) within the aorta, suggesting a polymer type-specific mechanisms contributing to SMC phenotypic modulation and plaque progression. PE exposure induced a pronounced shift toward chondrom",CONF_3207,Siwen Zheng,Stanford University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
An exposomic analytical framework for measuring micro- and nano- plastic in human biospecimens,"Objectives: Micro- and nanoplastics (MNPs) are an emerging concern for human health that have been reported in a wide range of human tissues and biological fluids. Despite growing evidence of their exposure in human populations, standardized methods for detecting MNPs are still lacking. Existing detection strategies typically focus on a limited set of polymers or additives, failing to capture the full diversity of nanoplastics and associated compounds, and are limited by throughput and sensitivity for detecting a wide range of particle sizes. Materials and Methods: In this work, we present a comprehensive analytical framework for MNP biomonitoring in human specimens that integrates sample pretreatment, microplastic separation and enrichment, and MNPs measurement using Pyrolysis-GC/HRMS. This framework enables a detailed and reliable characterization of polymers present in biological samples. Results: Three major highlights of this work are: (1) Exposomic analytical framework: Established a comprehensive framework for measuring MNPs in human biospecimens. Method validation confirmed reliable recovery of MNPs at various analytical stages, providing a robust basis for improving and quan",CONF_3208,Kuanliang Shao,Emory University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Silicon Nanomembrane Analysis Pipeline (SNAP): A Flexible Workflow for the Multi-modal Analysis of Particulates,"A significant hurdle in microplastics analysis lies in effectively capturing and analyzing the particles of interest, as the most commonly available filters are not designed with microplastics analysis in mind. These filters may have pores of inconsistent sizes, shapes, and porosities. More concerning, they are made of polymers which complicate sample analysis. All of these drawbacks increase analysis costs and lengthen time to results. Here, the Silicon Nanomembrane Analysis Pipeline (SNAP) will be presented as a means for addressing these challenges. SNAP is an analytical workflow utilizing novel Silicon nitride nanomembranes to capture, characterize, and enumerate microplastics and other microparticles of interest. The consolidated capture of particulates onto one non-polymeric, planarized observation area enables the direct multimodal analysis of particulates in an efficient manner. The highly conserved pore geometry and consistent background of silicon nanomembranes eliminates the need for error-prone transfers between substrates and improves automated particle recognition and analysis routines. The step-by-step methods for SNAP will be presented and its utility and advantages heur",CONF_3209,Teagan Horan,SIMpore,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Positioning of Microstructures within Acoustic Waves Enhances Particle Trapping,"Introduction: Ultrafiltration, nanofiltration, and ultracentrifugation are popular techniques for separating microparticles and nano particles (MNPs), but are time intensive and do not operate as a continuous process. The separation of MNPs and biologics have been explored by applying acoustophoretic techniques. Particles in the presence of acoustic waves move due to their relative densities (primary acoustic force) and adsorb to structures based on their proximity (secondary acoustic force) (Laurell +, 2017). Successful acoustic trapping of microparticles flowing through a random mesh structure has been shown (Gupta +, 1997). We explore the acoustic focusing and trapping of microparticles in a novel device, strategically positioning a stainless steel through wire axially within a microcapillary. We designed devices using a cylindrical microcapillary with i) no through wire, ii) a centered through wire and iii) an offset through wire to evaluate acoustic focusing and trapping efficiency. Methods: A custom cylindrical microcapillary was designed to allow axial placement of a stainless steel through wire (50 µm diameter). Experiments were conducted using high intensity fluorescent Nile red",CONF_3210,Ruben Trujillo,University of New Mexico,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Innovative Modelling Driven Membrane-Free Microfluidic Separation of Microplastics Model Optimized with Machine Learning,"The pervasive presence of microplastics (MPs) in drinking water poses significant health risks, yet current removal technologies particularly membrane-based filtration are costly, prone to fouling, and energy-intensive. This study proposes an innovative, cost-effective, membrane-free microfluidic device for MP separation based on size and shape, leveraging fundamental physical principles such as Reynolds number, inertial lift, and drag forces. The device features a specially engineered microchannel that generates targeted flow profiles, enabling precise particle separation through the interplay of inertial and drag forces influenced by channel geometry, flow rate, and particle characteristics. A Multiphysics computational model will simulate particle trajectories and optimize channel design, while a machine learning model trained on simulation data will predict optimal operating conditions for diverse MP types. This integrated approach aims to develop a passive, low-energy device capable of achieving >95% removal efficiency across a wide range of microplastics. By combining Multiphysics modeling with adaptive machine learning control, the system offers a scalable, sustainable, and low-cost",CONF_3211,Sanjay Giridharan,Arizona State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Investigating the impact of Polystyrene Nanoplastics in liver using hepatic cell lines and human precision-cut liver slices,"Large plastic products degrade during use and after disposal into small particles described as microplastics (<5 mm, MP) and nanoplastics (<1µm, NP). These MP/NPs accumulate in the environment and can enter the human body via ingestion, inhalation or dermal contact. Several studies have reported MP/NP in human tissue, raising concerns about potential adverse health outcomes. Existing research on NP toxicity is variable and lacks sufficient understanding of the liver-associated pathophysiology. To understand the impact of NP on the liver, we determined the uptake and effects of commercially available carboxylate-modified 20 nm polystyrene nanoparticles (PS NPs) in three hepatic models: human carcinoma hepatocytes (HepG2), immortalised human hepatocytes (IHH), and human precision-cut liver slices (hPCLS). We visualised and quantified PS NPs uptake using confocal microscopy and flow cytometry, and analysed cytotoxicity post-exposure. Further, we examined the subtle physiological effects of PS NPs on the redox state and mitochondrial respiration in HepG2 cells. Exposure experiments show a model and dose-dependent uptake of PS NPs after 24 and 48 hours of exposure in all three hepatic models.",CONF_3212,Namrata Pandey,University of Plymouth,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Elucidating the effects of environmental microplastics on the gut-brain axis of humanized ApoE3/E4 mice,"Microplastics are emerging environmental contaminants due to the rise in their global plastic production. Most common sizes microplastic particles detected in the environment range from 4-15 um in diameter. Their pervasive presence in various settings—including soil, household dust, and aquatic environments—raises significant environmental and public health concerns. Previous studies detected 5µm plastic microspheres in human gastrointestinal tract, blood, and brain, and the gut-brain axis is increasingly recognized as a key player for neurotoxicity. Microplastics are known to significantly change the gut microbiome composition in wildtype mice; however, very little is known regarding how microplastics modulate the gut-brain axis. Eight-week-old male and female C57BL/6 mice were orally gavaged vehicle (0 mg/week), a low dose (2 mg/week) of a microplastic mixture (MPs), or a high MPs dose (4 mg/week), twice a week for 4 weeks (n = 4/sex/exposure). The MPs include 5 um polystyrene (PS), polyethylene (PE), and the biodegradable medical plastic congener poly-lactic-co-glycolic acid (PLGA). At the end of the exposure, fecal samples were collected. Total microbial DNA was extracted and s",CONF_3213,Kyle Kim,University of Washington,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
Chronic Dietary Microplastic Exposure Weakens Skeletal Integrity,"Humans are estimated to ingest up to 5 grams of microplastics (MPs) weekly through diet, yet the physiological consequences of chronic exposure remain poorly understood. Emerging evidence suggests MPs can disrupt endocrine function and accumulate in various systemic tissues, but the effects on the skeletal system remain unclear, particularly regarding the gut–bone axis. To investigate this, we exposed C57BL/6J mice to polystyrene MPs (0.5–5 µm) incorporated into standard diet pellets for 12 weeks. Although no significant differences were observed in body weight, fat mass, energy intake, or inflammatory markers (serum TNFα, fecal LCN-2 and sIgA) compared to controls, microCT analysis revealed sex- and site-specific skeletal changes following chronic MP exposure. In females, MP exposure reduced spinal trabecular thickness without altering connectivity density and caused reductions in femoral cortical area, cortical thickness, trabecular bone volume fraction (BV/TV), along with increased trabecular separation. In males, spinal BV/TV was preserved, but trabecular thickness increased while connectivity density declined. Male femurs showed reduced BV/TV and increased trabecular separation. In",CONF_3214,Aaron Romero,University of New Mexico,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Metabolic Reprogramming in Gut Microbiota Exposed to Polystyrene Microplastics,"Background: Microplastics (MPs) are small plastic fragments with diameters less than 5 mm in size and are prevalent in everyday essentials and consumables. Large global plastic production has now led to a flooding of MPs in our natural environment. Due to their detrimental impacts on the planetʼs ecosystems and potentially our health, MPs have emerged as a significant public health concern. In this pilot study, we hypothesize that MPs exposure will negatively affect gut microbiota composition and function, in which metabolic reprogramming plays an important role. Methods: Using in vitro experiments, three bacterial strains (Escherichia coli MG1655, Nissle 1917, and Lactobacillus rhamnosus) were selected to investigate the impacts of MPs exposure. The bacterial strains were individually cultured in an anaerobic chamber and exposed to 1 µm polystyrene MPs at various concentrations (0, 10, 20, 50, 100, and 500 µg/mL) in the culture medium. Results: MPs exposure reduced the growth of all three bacterial strains in a dose-dependent manner. Liquid chromatography mass spectrometry (LC-MS)-based untargeted metabolomics revealed significant differences in multiple metabolic pathways, such as sul",CONF_3215,Lingjun Li,Arizona State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
