doc_id,title,authors,doi,pub_date,year,abstract
PMC12808005,"Microplastics and Nanoplastics as Carriers for Viral Transmission: Effects on Viral Properties, Infection, Immune Response, and Public Health","Cosmina Mija, Giuseppe Sberna, Fabrizio Maggi",10.1002/rmv.70106,2026-01-15,2026,"The extensive use of plastics since the industrial revolution has raised significant environmental and health concerns. Despite their advantages in terms of durability, affordability, and ease of production, the accumulation of plastics has resulted in considerable pollution. The SARS‐CoV‐2 pandemic further exacerbated plastic consumption, particularly in medical supplies, intensifying the plastic waste crisis. The majority of plastics are not recycled and eventually degrade into microplastics (MPs) and nanoplastics (NPs), which pose substantial risks to ecosystems and human health. MPs and NPs enter the body through inhalation, ingestion, or skin contact and have been found in biological samples such as blood, faeces, and lung fluids. Their presence has been linked to diseases affecting the lungs, cardiovascular system, and intestines, as well as cancer and viral infections. This review highlights how MPs and NPs contribute to the spread of infectious diseases by creating a habitat called the “plastisphere,” which promotes microbial growth and serves as a reservoir for pathogens, emphasising their effects on viral persistence, infection dynamics, and immune modulation. Unlike previous reviews mainly focused on toxicological or microbiological aspects, this work integrates environmental, virological, and immunological evidence to outline how MPs/NPs may reshape virus–host interactions. By identifying critical knowledge gaps, such as the quantitative impact of MPs/NPs on viral stability and immune disruption, this review provides a background for future experimental and epidemiological research. This value‐added perspective not only advances scientific understanding but also supports policy development in waste management."
PMC12808127,Pulmonary toxicity of polymethyl methacrylate nanoplastics via intratracheal intubation in mice,"Changsic Youn, Yu-Jin Jo, Jeongwoo Kwon, Seung-Bin Yoon, Hyeong-Ju You, Ji-Su Kim",10.1038/s41598-025-31615-9,2026-01-06,2026,"The online version contains supplementary material available at 10.1038/s41598-025-31615-9. Plastics, ubiquitous in daily life and industry, are released into the environment in substantial quantities. Instead of complete biodegradation, plastic waste fragments into smaller particles, accumulating as nanoplastics (NPs; < 1 μm). Humans are exposed to NPs through inhalation and ingestion of contaminated water and food, which can induce cytotoxicity through physical and chemical pathways. Polymethyl methacrylate (PMMA), commonly used in implants and artificial bones, has been identified in human lungs and associated with pulmonary embolism. While PMMA NP toxicity has been reported in vitro, their in vivo effects, as well as the underlying mechanism, remain poorly understood. In this study, we investigated the pulmonary effects of inhaled PMMA NPs in mice. Mice received 20 or 100 μg of PMMA NPs (25 nm) via intratracheal intubation for 28 days. PMMA-NP preparation and characterization are described in the Methods section. Exposed mice exhibited body weight loss and pulmonary accumulation of PMMA NPs. Bronchoalveolar lavage fluid (BALF) analysis revealed increased cell count and elevated inflammatory cytokines in serum and BALF. Histopathology (H&E staining) revealed abnormalities in lung tissue and alterations in protein and RNA expression. The findings demonstrate that respiratory exposure to PMMA NPs induces lung inflammation, tissue damage, and molecular dysregulation."
PMC12841581,Frequent Plastic Usage Behavior and Lack of Microplastic Awareness Correlates with Cognitive Decline: A Cross-Sectional Survey,"Pukovisa Prawiroharjo, Anyelir Nielya Mutiara Putri, Noryanto Ikhromi, Aldithya Fakhri, Elizabeth Divina, Rani Permata, Aileen Gabrielle, Violine Martalia, Agustyno Zulys",10.3390/ijerph23010067,2026-01-01,2026,"Public health relevance—How does this work relate to a public health issue? 
 Microplastics are persistent environmental contaminants that enter the human body primarily through ingestion, posing potential neurotoxic risks via oxidative stress and inflammation mechanisms. This study investigates the emerging intersection of environmental health and neurology by examining how daily plastic usage behaviors correlate with neurocognitive function in an adult population. Public health significance—Why is this work of significance to public health? 
 Multivariate analysis indicates that high consumption of single-use plastics is significantly associated with a 41% increase regarding the risk of suspected cognitive impairment (OR = 1.409). The study identifies a critical gap in health literacy, where low awareness of microplastics correlates with higher consumption of single-use plastics, thus potentially increasing exposure to neurotoxic contaminants. Public health implications—What are the key implications or messages for practitioners, policy makers and/or researchers in public health? 
 Public health strategies must integrate environmental sustainability with neurological well-being, emphasizing reducing the consumption of single-use plastics as a preventative measure for cognitive health. Effective interventions require structural policy changes, such as phasing out virgin plastics and enforcing industry transparency, rather than relying solely on individual awareness, which was not found to be an independent predictor of cognitive status. Introduction: Microplastics (MPs) are widespread environmental pollutants with possible neurotoxic effects. Exploring links between plastic use, MP awareness, and cognition is key for assessing public health risks. Objective: To examine correlations between plastic consumption, MP awareness and attitudes, and neurocognitive function among Greater Jakarta residents. Methods: A cross-sectional survey of 562 adults used a validated e-q"
PMC12827297,Stimulation of Human Adenovirus Infection Modulated by Emerging Micropollutants,"Catielen Paula Pavi, Yasmin Ferreira Souza Hoffmann Jempierre, Lucas Zanchetta, Paula Rogovski, Gislaine Fongaro",10.1007/s12560-025-09676-w,2026-01-22,2026,"Contaminants of emergent concern (CECs), such as pharmaceuticals and microplastics, are increasingly found in aquatic environments, yet their interactions with viral pathogens remain underexplored. This study evaluated the effects of antibiotics, antidepressants, microfibers, and nanoplastics on human adenovirus type 5 (HAdV-5) replication in A549 cells. A series of in vitro assays simulating distinct exposure scenarios across the viral replication cycle was conducted. Results showed that individual pre- or post-infection exposure to CECs did not significantly impact HAdV-5 replication. However, co-incubation of CECs with viral particles at physiological temperature (37 °C) led to a significant increase in viral replication up to 1.5 log₁₀ compared to viral control, highlighting temperature-dependent interactions. No enhancement was observed at room temperature. The findings suggest that CECs can modulate viral infectivity through direct physicochemical interactions, particularly under conditions resembling those of wastewater environments. This study provides new insights into the potential risks posed by the co-occurrence of viruses and CECs in aquatic ecosystems."
PMC12827314,The single and combined effects of deltamethrin and polyethylene microplastics on the development and biochemical responses of  Xenopus laevis  in early life stages,"Duygu Ozhan Turhan, Cihan Anıl Benli, Muhittin Yurekli, Abbas Güngördü",10.1007/s10646-026-03028-5,2026-01-23,2026,"The online version contains supplementary material available at 10.1007/s10646-026-03028-5. The co-occurrence of microplastics and pesticides in freshwater ecosystems raises concerns for aquatic organisms. However, their combined effects remain poorly understood. In this study, the single and combined effects of deltamethrin (DEL) and polyethylene microplastics (PE-MPs) were investigated in the early life stages of  Xenopus laevis . Embryonic developmental toxicity was evaluated under standardized Frog Embryo Teratogenesis Assay– Xenopus  (FETAX) conditions in embryos, and sublethal biochemical responses were also assessed in embryos and tadpoles. In the first phase, embryos were exposed for 96 h to a concentration range of DEL (3.125–6,400 µg/L) and PE-MPs (50–1,000 mg/L) to estimate the median lethal concentration (LC 50 ) and the median effective concentration for malformation (EC 50 ), as well as the teratogenic index (TI). In the second phase, assays were performed at DEL 2.72 and 13.6 µg/L (alone or combined with 100 mg/L PE-MPs) and PE-MPs 50 and 250 mg/L alone, assessing malformation and lethality in embryos and enzymatic biomarkers in both embryos and tadpoles. DEL caused significant embryotoxicity, with 96 h LC 50  and EC 50  values of 68.0 µg/L and 7.58 µg/L, respectively, and a TI of 8.97. PE-MPs alone did not induce lethality or malformations but caused biochemical alterations. Combined exposures produced additive (glutathione S-transferase, GST; carboxylesterase, CaE) and antagonistic (catalase, CAT; acetylcholinesterase, AChE) patterns; notably, CAT showed a synergistic pattern in embryos based on interaction index analysis. In tadpoles, 250 mg/L PE-MP concentration inhibited glutathione reductase (GR) and AChE activity, suggesting life stage–dependent sensitivity. These findings underscore the complexity of mixture toxicity and emphasize the need for combined exposure assessments in amphibian ecotoxicology."
PMC12830131,"Microplastics in poultry: Sources, bioaccumulation and human health consequences","Susmita Sarker Bristi, Rafiqul Islam",10.1016/j.psj.2026.106387,2026-01-03,2026,"• Microplastics enter poultry via feed, water, litter, environment and processing equipment. • MPs can accumulate in different organs such as gastrointestinal tract, liver, kidneys, spleen, muscles, etc. • Exposure disrupts gut microbiota, causes oxidative stress and impairs growth, meat quality and egg production. • Contaminated poultry products pose potential health risks to humans. • Key strategies such as reducing plastic use, improving detection methods, raising awareness and implementing proper safety regulations should be adopted to minimize associated risks."
PMC12837546,Size-Dependent Tissue Translocation and Physiological Responses to Dietary Polystyrene Microplastics in  Salmo trutta,"Buumba Hampuwo, Anna Duenser, Elias Lahnsteiner, Thomas Friedrich, Franz Lahnsteiner",10.3390/ani16020285,2026-01-16,2026,"Microplastics are widespread pollutants found in freshwater, glaciers, and even the air. This study examined how polystyrene microplastics (PS-MPs; 1–10 µm) affect brown trout, a temperate freshwater fish important for ecology and aquaculture. Fish were fed polystyrene microplastic-spiked diets of approximately 5 million MPs per gram of feed for 21 days, followed by 90 days on clean feed. Small PS-MPs (1–5 µm) moved from the gut to the liver and muscle, while larger MPs (10 µm) mostly stayed in the intestine, with a small fraction reaching muscle tissue. Most biochemical markers were unaffected, but some enzymes, including trypsin, which is responsible for protein digestion, and peroxidase, which helps remove reactive oxygen species, were significantly decreased after 21 days. Importantly, MPs persisted in muscle tissue even after depuration, representing a clear concern for human food safety."
PMC12844225,Kinetics and Potential Mechanisms of LDPE and PBAT Microplastics Biodeterioration by Soil Bacteria  Bacillus cereus  L6,"Jiayang Hu, Tianyu Liu, Jinpeng Zhang, Yong Yu, Jincai Ma, Yanjun Li",10.3390/microorganisms14010179,2026-01-14,2026,"Low-density polyethylene (LDPE) and poly (butylene adipate-co-terephthalate) (PBAT) agricultural films are major components of microplastics (MPs) and their contamination in agriculture due to their difficulty to recycle. However, potential degradation mechanisms of MPs from LDPE and PBAT in agricultural soils are still unclear. Here, we isolated a strain of  Bacillus cereus  L6 from long-term agricultural MP-contaminated soil and analyzed its potential biochemical pathways involved in LDPE and PBAT turnover through functional prediction from shotgun genome sequencing. After 28 days of incubation with MPs,  Bacillus cereus  L6 caused a net mass loss of 0.99% LDPE-MPs/28 days and 3.58% PBAT-MPs/28 days. The surfaces of LDPE and PBAT degraded in bioassays added with  Bacillus cereus  L6 showed wrinkles, cracks, and pits, accompanied by an increase in roughness. The crystallinity and thermal stability of both LDPE- and PBAT-MPs were decreased and the hydrophobicity of PBAT-MPs was reduced. Whole-genome sequencing analysis showed that  Bacillus cereus  L6 potentially encoded genes for enzymes related to the biodeterioration of additives in LDPE and PBAT. Moreover, genomic CAZymes predictive analysis showed that genes related to oxygenases and lyases were annotated in the strain L6 Auxiliary Activities family. These findings offer a theoretical foundation for deeper exploration into the degradation and metabolic processes of MPs from discarded agricultural plastics in the environment."
PMC12845502,Natural Deep Eutectic Solvents for PHB Recovery: Mechanistic Insights and Implications for Sustainable Downstream Processing,"Antonio Zuorro, Roberto Lavecchia, Jefferson E. Contreras-Ropero, Janet B. García-Martínez, Andrés F. Barajas-Solano",10.3390/polym18020169,2026-01-08,2026,"The growing concern over plastic pollution and the widespread presence of micro- and nanoplastics has renewed interest in polyhydroxybutyrate (PHB) as a biodegradable alternative; however, its industrial deployment remains constrained by costly recovery operations with a high environmental burden. This study examines how PHB biosynthesis and intracellular organization, physicochemical properties, and the characteristics of the producing microorganism influence the performance of conventional recovery routes, including extraction with organic solvents, alkaline/oxidative chemical digestion, and enzymatic–physical schemes coupled with mechanical disruption. Based on this foundation, quantitative data are analyzed for PHB content in bacteria, mixed microbial cultures, cyanobacteria, and microalgae, along with extraction yields, polymer purity, and solvent recyclability in processes employing chlorine-free solvents, green solvents, and hydrophobic natural deep eutectic solvents (NaDESs) formulated with terpenes and organic acids. The analysis integrates mechanistic perspectives on NaDES–cell and NaDES–PHB interactions with solvent design criteria, biorefinery configurations, and preliminary evidence from technoeconomic and life cycle assessments. The findings identify NaDES as an up-and-coming platform capable of reconciling biopolymer quality with the principles of green chemistry while delineating critical gaps in recovery efficiency, viscosity management, solvent recycling, and pilot-scale validation."
PMC12845532,Fungal Degradation of Microplastics—An Environmental Need,"Rachel R. West, Mason T. MacDonald, Chijioke U. Emenike",10.3390/toxics14010070,2026-01-12,2026,"Plastic waste is a global issue due to the popularity of the product. Over time, plastic degrades into smaller particles known as microplastics and becomes harder to deal with as it easily disperses and can be missed by physical catches. Conventional degradation involves environmental forces like ultraviolet (UV) light, water, temperature, and physical abrasion. However, there is increasing interest in microbial plastic degradation, which could positively impact the transformation of (micro)plastics in various environmental matrices. Most of the available research has focused on bacterial degradation, but there is mounting evidence on the impact of fungal degradation. This review discusses conventional and bacterial degradation, then discusses the advantages of fungal involvement in the degradation of microplastics. Biodegradation enhanced by fungal enzymes is a valuable tool that could greatly improve the removal of these microplastic pollutants from the environment. Due to some biochemical complexities, fungi are naturally omnipresent in marine and terrestrial environments under all sorts of climates. Fungi could thrive by themselves or in association with other microorganisms, which could also be applied in non-biotic plastic degradation processes as an alternative to other forms of plastic management in the environment."
PMC12845626,A Cost-Effective Standardized Quantitative Detection Method for Soil Microplastics in Different Substrates,"Xinlei Ling, Yuting Gao, Rongxiang Li, Rongfang Chang, Yanpeng Li, Wen Xiao",10.3390/toxics14010105,2026-01-22,2026,"Microplastics (MPs) are emerging pollutants with widespread global distribution, continuously accumulating in soils and posing risks of cross-media pollution. Current soil MP detection methods lack unified standards, suffering from high inter-laboratory variability and cost, which become key bottlenecks limiting data comparability and global microplastics pollution control. Here, we systematically reviewed soil MPs studies (2020–2024) and based on stepwise verification, we established a standardized, reproducible detection method: soil samples were dried at 80 °C for 12 h; density separation was performed in Erlenmeyer flasks with decantation, 10 s glass rod stirring, and 12 h settling, repeated five times; digestion was conducted using a 1:2 volume ratio of H 2 O 2  to supernatant at 80 °C for 8 h; and MPs were quantified via stereo-microscopy combined with ImageJ. It should be noted that the use of NaCl limits the recovery of high-density polymers (e.g., PVC, PET), and the minimum detectable particle size is approximately 127 µm. The method was validated in sandy, loam, and clay soils, achieving an average recovery rate of 96.4%, with a processing time of 68 h and a cost of USD 9.77 per sample. In contrast to previous fragmented, non-standardized protocols, this workflow synergistically optimizes high recovery efficiency, cost-effectiveness, and broad applicability, offering a low-cost, efficient, and widely applicable approach for soil MPs monitoring, supporting data comparability across studies and contributing to global pollution assessment and the United Nations 2030 Sustainable Development Goals."
PMC12845721,Toxic Effects of Polystyrene Microplastics and Sulfamethoxazole on Early Neurodevelopment in Embryo–Larval Zebrafish ( Danio rerio ),"Fantao Meng, Shibo Ma, Yajun Wang, Chunmei Wang, Ruoming Li, Jiting Wang",10.3390/toxics14010074,2026-01-14,2026,"Microplastics (MPs) and antibiotics have emerged as contaminants of global concern, posing potential threats to ecosystem security and organismal health. To investigate the individual and combined toxicity of microplastics (PS-MPs) and sulfamethoxazole (SMX), we conducted a 120 h acute exposure experiment using embryo–larval zebrafish as a toxicological model. Our findings demonstrate that both PS-MPs and SMX can induce neurodevelopmental toxicity in embryo–larval zebrafish during embryonic development. Notably, PS-MPs and SMX exerted a significant synergistic effect. PS-MPs 1 µm in diameter were restricted to the chorion surface of pre-hatching zebrafish, whereas post-hatching, PS-MPs accumulated mainly in the gut and gills, with accumulation levels increasing progressively with exposure duration. Individual exposure to PS-MPs or SMX reduced spontaneous locomotion, decreased heart rate, and shortened body length in embryo–larval zebrafish. In addition to exacerbating these effects, coexposure further increased the incidence of malformations such as pericardial effusion and spinal curvature. PS-MPs and SMX significantly decreased the levels of dopamine (DA), serotonin (5-HT), and γ-aminobutyric acid (GABA) in zebrafish while also suppressing acetylcholinesterase (AChE) activity and increasing acetylcholine (ACh) levels. Moreover, upon coexposure at high concentrations, PS-MPs and SMX acted synergistically to reduce the levels of DA and GABA. The downregulation of key neurodevelopmental genes ( elavl3 ,  gap43 , and  syn2a ) and related neurotransmitter pathway genes indicates that PS-MPs and SMX impaired structural development and functional regulation of the nervous system. An integrated biomarker response (IBR) index confirmed that PS-MPs and SMX significantly enhanced developmental neurotoxicity during early neurodevelopment in embryo–larval zebrafish through synergistic effects. Our study provides critical toxicological evidence for the scientific assessment of "
